N,P,K,temperature,humidity,ph,rainfall,label
76,48,41,25.69849494,83.94447984,6.45282456,269.81723621,rice
72,58,47,22.42918044,81.11966612,6.82584735,246.96332193,rice
94,47,41,21.43879696,83.62648197,6.99460334,252.29462805,rice
81,50,53,19.85711045,81.20082196,6.02370188,216.83366455,rice
87,54,54,22.62818732,80.84412052,7.08638071,230.26087025,rice
82,53,46,24.64193809,80.34518515,6.10955692,224.54786318,rice
79,45,47,19.28166392,78.38221882,5.34184031,206.08259517,rice
78,40,45,25.60077034,77.68169894,6.74753891,243.13206807,rice
77,40,49,24.04999171,85.39796894,7.068089,246.70613177,rice
77,36,40,24.28378462,84.09531642,7.99738471,323.41587398,rice
78,57,49,23.10341291,79.41086562,5.06025364,221.41076273,rice
71,65,41,25.59622301,79.74268205,7.14525841,247.54852898,rice
82,61,49,23.20340418,82.71456535,7.44480139,242.58147504,rice
100,62,47,22.5420317,85.65361073,5.51436345,209.15818943,rice
88,32,48,21.39192432,78.95296735,5.69747811,225.97629678,rice
96,47,42,22.94035296,82.60624198,6.54125869,203.46835783,rice
73,51,58,21.67729041,80.3646339,4.68216878,231.12002238,rice
65,39,63,30.76266792,79.07108343,6.10540083,246.24666653,rice
64,46,46,24.08042472,80.61168195,6.77723082,266.38147453,rice
105,61,51,21.59235698,79.21897132,7.35291436,243.88247675,rice
81,46,47,22.87005655,82.38140628,7.57719358,159.00024677,rice
62,55,45,23.34668914,79.36775372,6.13243506,275.00133784,rice
76,49,42,25.97395984,79.05424094,7.02588027,230.28046827,rice
74,60,53,21.75267393,79.46570658,6.42622567,199.50319552,rice
85,61,31,22.02224144,83.47726581,5.13472448,280.27847144,rice
83,41,47,23.11869367,82.95848466,7.1998594,204.24391754,rice
96,55,55,24.88529125,87.81913275,6.23587065,175.89433124,rice
70,52,52,24.19068545,78.46808529,4.55191725,237.63060756,rice
72,47,50,25.55132119,81.01564707,6.8169338,228.02483624,rice
89,46,50,26.22304374,85.31921533,6.34468965,276.60757669,rice
101,37,51,20.89864015,83.18674272,6.29513068,181.07282522,rice
84,51,59,22.64303462,78.30785546,7.25377793,226.05535484,rice
82,57,41,24.33267593,81.93534288,6.65112657,210.99893582,rice
68,51,45,22.7890904,82.46331412,6.89533689,225.82224548,rice
87,48,47,21.55129401,83.0757534,5.71877025,255.96755709,rice
76,32,36,26.90965557,84.23796245,5.82441581,190.92489632,rice
76,49,47,25.4770153,82.86161307,6.93466081,215.34883153,rice
75,60,49,24.14557206,85.91179505,6.11058362,207.76633712,rice
71,35,41,24.11916475,81.55193344,6.19729794,231.22445386,rice
104,47,46,21.61618105,79.41934332,5.40442257,209.3360806,rice
72,52,50,19.87968185,81.83004936,6.60962865,209.00915641,rice
66,46,39,25.28599121,86.99324133,5.45870822,210.87609788,rice
75,44,55,24.1041493,77.56259485,6.81232832,218.67383338,rice
86,40,50,19.94066391,83.11580537,5.75472088,197.52096049,rice
73,52,44,22.47090419,85.4066066,5.56753116,163.61659007,rice
67,53,52,19.76398595,83.74799183,8.04214799,241.15880997,rice
78,61,39,24.96814792,82.79850066,5.7047622,241.32188344,rice
60,35,52,22.19320326,75.58813915,7.02787523,244.17109266,rice
78,55,53,26.62931252,80.6966927,6.05167402,221.62690487,rice
53,41,42,17.69910997,79.59090389,5.66787511,229.96686036,rice
87,46,53,23.46588302,83.75415912,5.57193751,235.63746048,rice
94,30,36,21.1927839,85.65294717,6.62606959,259.01951721,rice
82,54,54,19.45032001,76.38182861,7.20139632,271.6317528,rice
69,48,46,20.96233024,87.12188913,7.82813472,270.08146051,rice
88,51,34,23.70905269,80.6095201,5.37612723,286.45449858,rice
85,48,38,23.37200722,81.80067609,7.83804893,262.82639986,rice
65,52,51,19.03323122,81.69328841,7.19656111,267.77671217,rice
93,47,38,22.70223351,82.54307799,6.2383334,218.66317676,rice
66,44,60,20.59480122,76.70836388,4.91052388,236.8732984,rice
75,42,41,22.68434499,85.56871321,7.86990934,225.92182325,rice
90,42,56,22.59541866,80.77562454,7.12688109,236.93256763,rice
63,48,49,21.76623459,84.07757964,5.32625987,223.79168754,rice
56,48,46,23.24144972,81.93004386,6.58044787,264.4294883,rice
60,41,44,22.47902843,82.09645281,6.15060294,267.48018832,rice
99,43,64,22.93642138,78.80745889,6.45593566,203.71264399,rice
86,59,33,22.70523363,79.83248686,6.49538069,218.85652342,rice
85,57,61,24.2740502,83.47386722,5.47930839,233.36369773,rice
76,51,25,24.45721434,72.87896794,5.02122927,249.55305803,rice
85,61,49,20.99414005,81.72568137,6.37151141,195.05775043,rice
87,40,40,26.26169804,80.96915782,5.26652633,249.31438128,rice
84,46,44,25.67638902,85.69818628,7.83549604,275.44423615,rice
71,45,53,23.50748323,82.85052494,6.93606339,224.75475611,rice
68,48,46,22.65792008,83.54925491,6.67190029,245.48143612,rice
93,58,50,22.24909731,83.21290278,5.97766589,235.95822046,rice
81,42,41,22.15584356,83.35648616,5.63549987,249.12536746,rice
85,49,52,23.11578724,85.63512545,6.03482308,269.96703717,rice
